id;judul;isbn_issn;tahun_terbit;deskripsi;rating
1197;EDEN IN THE EAST SURGA DI TIMUR,STEPHEN OPPENHEIMER;978-602-8801-44-7;2010;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;5.000.000
1209;24416 NASKAH DEPARTEMEN TENTANG MATA KULIAH MANAJEMEN PERTAHANAN MATRA DARAT;9790019;2016;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;4.000.000
1210;24418 NASKAH DEPARTEMEN TENTANG MATA KULIAH MANAJEMEN PERTAHANAN MATRA DARAT;9790020;2016;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;5.000.000
1234;BUKU PETUNJUK PELAKSANAAN PEDOMAN PENGAMANAN PRESIDEN, WAKIL PRESIDEN DAN TAMU NEGARA BESERTA KELUARGANYA (VVIP);9790044;2009;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;2.000.000
1236;BUKU PETUNJUK PELAKSANAAN PEDOMAN PENYIAPAN SATUAN TNI AD UNTUK TUGAS PERDAMAIAN DUNIA;9790046;2009;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;5.000.000
1257;BUKU PETUNJUK TEKNIK KACA MATA MALAM;9790067;2005;Buku Petunjuk Teknik tentang Kaca Mata Malam Disahkan dengan Surat Keputusan Kasad Nomor Skep/526/XII/2005 tanggal 28 Desember 2005.;5.000.000
1268;BUKU PETUNJUK TEKNIK PENYIAPAN SATUAN INTELIJEN;9790078;2006;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;4.000.000
1281;HIMPUNAN PERATURAN KEPALA STAF ANGKATAN DARAT BIDANG PERSONEL TAHUN 2014;9790091;2014;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;5.000.000
1293;NASKAH DEPARTEMEN TENTANG MATA KULIAH OPERASI MILITER SELAIN PERANG;9790103;2015;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;5.000.000
1301;NASKAH SEMENTARA BUKU PETUNJUK LAPANGAN OPERASI GERILYA;9790111;2006;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;5.000.000
1302;NASKAH SEMENTARA BUKU PETUNJUK LAPANGAN OPERASI LAWAN GERILYA;9790112;2006;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;5.000.000
1362;YOU ARE A LEADER!;9,78979E+12;2010;Kepemimpinan bukanlah semata-mata persoalan mengatur negara  perusahaan  organisasi  atau partai politik. Kepemimpinan adalah mengatur diri sendiri. Berkaitan dengan hal-hal sederhana  seperti berbakti kepada orangtua.;5.000.000
1363;10 SECRETS OF SUCCESSFUL LEADERS;9797982165;2007;10 Secrets of Successful Leaders akan mengubah cara Anda berpikir tentang karier Anda  dan menunjukkan kepada Anda bagaimana menjadi pemimpin perusahaan yang dapat mendaki tangga sejauh yang Anda inginkan.;4.896.552
1365;ASAS MANAJEMEN;9790165;2014;"Banyak sumber mengenai istilah manajemen secara etimologis  di antaranya istilah manajemen berasal dari bahasa Latin manus yang berarti tangan"" (Online Etymology)  dalam bahasa Italia maneggiare berarti ""mengendalikan""  kemudian bahasa Prancis management yang berarti ""seni melaksanakan dan mengatur"" (Oxford English Dictionary)  sedangkan dalam bahasa Inggris istilah manajemen berasal dari kata to manage yang berarti mengatur.""";5.000.000
1392;HARUS BISA SENI MEMIMPIN ALA SBY;9,7928E+11;2008;Pagi itu  tanggal 26 Desember 2004  satu hari setelah Natal  bermula sebagai hari yang biasa. Di Nabire Papua  rakyat sedang bersiap-siap melepas Presiden SBY dan Ibu Ani  yang semalam sebelumnya tidur di tenda setelah memberi bantuan kepada para korban gempa bumi.;5.000.000
1400;MAJAPAHIT PERADABAN MARITIM;9,78603E+12;2011;Jasad Raja Mesir Kuno Firaun dapat tetap awet berkat bahan pengawet yang didatangkan dari Nusantara  yaitu kamper atau kapur barus (Dryobalanops aromatica). Ada tiga daerah utama penghasil kapus barus di Asia Tenggara  yaitu Sumatera  Semenanjung Melayu  dan Borneo.;5.000.000
1419;WONG PARE DADI JENDERAL;9,7928E+11;2009;Pertumbuhan dan perkembangan semasa kecil yang dialami Aguk sering berpindah-pindah tempat dari kota satu ke kota lainnya dalam rangka mengikuti tugas ayahnya yang berprofesi sebagai seorang tentara.;5.000.000
1423;1001 CARA CEPAT NAIK PANGKAT;979000001;2000;Buku ini menyajikan 1001 teknik mempromosikan diri  lengkap dengan ratusan kisah nyata yang mencakup semua fungsi promosi penting termasuk mengidentifikasi strategi promosi dan menyesuaikan ke dalam sebuah rencana induk.;5.000.000
1424;100 KESIAPSIAGAAN BEKANGDAM JAYA DALAM MANAJEMENT RISK APPROACH;9,7922E+11;2020;Taskap berjudul Kesiapsiagaan BEKANGDAM Jaya dalam management Risk Approach Penanggulangan Bencana di wilayah DKI Jakarta oleh Yudi Wibowo  S.sos.;4.789.474
1425;101 IMPLEMENTASI KEPEMIMPINAN DANSECABA GUNA MENINGKATKAN MOTIVASI KERJA PRAJURIT;979000003;2020;Taskap yang dibuat dengan Judul 101 IMPLEMENTASI KEPEMIMPINAN DANSECABA GUNA MENINGKATKAN MOTIVASI KERJA PRAJURIT.;4.666.667
1426;103 OPTIMALISASI PEMBERDAYAAN KENDARAAN DAPUR LAPANGAN (RANDURLAP) DALAM PENANGANAN BANJIR DI JAKARTA TIMUR GUNA MENDUKUNG TUGAS BEKANGDAM JAYA;979000004;2020;Taskap yang dibuat dengan Judul 103 OPTIMALISASI PEMBERDAYAAN KENDARAAN DAPUR LAPANGAN (RANDURLAP) DALAM PENANGANAN BANJIR DI JAKARTA TIMUR GUNA MENDUKUNG TUGAS BEKANGDAM JAYA.;4.500.000
1427;104 OPTIMALISASI KEMAMPUAN SATGASPAMTAS RI-PNG GUNA MENINGKATKAN TUGAS POKOK TNI AD DALAM RANGKA TERJAGANYA KEDAULATAN NKRI;979000005;2020;Taskap yang dibuat dengan Judul 104 OPTIMALISASI KEMAMPUAN SATGASPAMTAS RI-PNG GUNA MENINGKATKAN TUGAS POKOK TNI AD DALAM RANGKA TERJAGANYA KEDAULATAN NKRI.;5.000.000
1428;105 OPTIMALISASI TEKNOLOGI KOMUNIKASI DALAM RANGKA MENINGKATKAN PROFESION;979000006;2020;Taskap yang dibuat dengan Judul 105 OPTIMALISASI TEKNOLOGI KOMUNIKASI DALAM RANGKA MENINGKATKAN PROFESION.;5.000.000
1429;106 PERAN OPERASI PENGGALANGAN SATUAN KHUSUS INTELEJEN BAIS;979000007;2020;Taskap yang dibuat dengan Judul 106 PERAN PERASI PENGGALANGAN SATUAN KHUSUS INTELEJEN BAIS.;4.333.333
1430;107 OPTIMALISASI PERAN KODAM XII TANJUNGPURA DALAM MENGAMANKAN WILAYAH PERBATASAN RI-MALAYSIA DI PROVINSI KALIMANTAN BARAT;979000008;2020;Taskap yang dibuat dengan Judul 107 OPTIMALISASI PERAN KODAM XII TANJUNGPURA DALAM MENGAMANKAN WILAYAH PERBATASAN RI-MALAYSIA DI PROVINSI KALIMANTAN BARAT.;5.000.000
1431;108 OPTIMALISASI PERAN ASEAN MILITARY INTELIGENCE MEETING GUNA MENCEGAH TINDAK KEJAHATAN LINTAS NEGARA DALAM RANGKA MENINGKATKAN STABILITAS KEAMANAN R;979000009;2020;Taskap yang dibuat dengan Judul 108 OPTIMALISASI PERAN ASEAN MILI.;5.000.000
1432;109 OPTIMALISASI SDM PRAJURIT DALAM RANGKA MENGIMBANGI MODERNISASI ALUTSISTA TNI AD;979000010;2020;Taskap yang dibuat dengan Judul 109 OPTIMALISASI SDM PRAJURIT DALAM RANGKA MENGIMBANGI MODERNISASI ALUTSISTA TNI AD.;4.250.000
1433;110 OPTIMALISASI PENYIDIK POMDAM XII MERDEKA DALAM RANGKA PERCEPATAN PENYELESAIAN PERKARA PIDANA;979000011;2020;Taskap yang dibuat dengan Judul 110 OPTIMALISASI PENYIDIK POMDAM XII MERDEKA DALAM RANGKA PERCEPATAN PENYELESAIAN PERKARA PIDANA.;5.000.000
1434;111 MEWUJUDKAN PROFESIONALISME OPERATOR SIMAK BMN DALAM RANGKA PENYUSUNAN LAPORAN;979000012;2020;Taskap yang dibuat dengan Judul 111 MEWUJUDKAN PROFESIONALISME OPERATOR SIMAK BMN DALAM RANGKA PENYUSUNAN LAPORAN.;5.000.000
1435;112 OPTIMALISASI PELAKSANAAN PRE DEPLOYMENT TRAINING DALAM RANGKA PENYIAPAN SATGAS;979000013;2020;Taskap yang dibuat dengan Judul 112 OPTIMALISASI PELAKSANAAN PRE DEPLOYMENT TRAINING DALAM RANGKA PENYIAPAN SATGAS.;5.000.000
1436;113 OPTIMALISASI KEPEMIMPINAN DANDIM DALAM RANGKA MENUMBUHKAN SEMANGAT KERJA PRAJURIT DI SATUAN;979000014;2020;Taskap yang dibuat dengan Judul 113 OPTIMALISASI KEPEMIMPINAN DANDIM DALAM RANGKA MENUMBUHKAN SEMANGAT KERJA PRAJURIT DI SATUAN.;5.000.000
1437;114 OPTIMALISASI PELAYANAN JASA BEKANGDAM JAYA PADA PENANGANAN BENCANA BANJIR DI JAKARTA;979000015;2020;Taskap yang dibuat dengan Judul 114 OPTIMALISASI PELAYANAN JASA BEKANGDAM JAYA PADA PENANGANAN BENCANA BANJIR DI JAKARTA.;5.000.000
1438;115 IMPLEMENTASI PERJANJIAN KK JKK SOSEK MALINDO GUNA MENDUKUNG PENGAMANAN PERBATAS;979000016;2020;Taskap yang dibuat dengan Judul 115 IMPLEMENTASI PERJANJIAN KK JKK SOSEK MALINDO GUNA MENDUKUNG PENGAMANAN PERBATAS.;5.000.000
1439;116 SINERGI PERAN KODIM 0506TCR UNTUK PENYELESAIAN KONFLIK SOSIAL DI WILAYAH DALAM RANGKA MENJAGA INTEGRITAS BANGSA;979000017;2020;Taskap yang dibuat dengan Judul 116 SINERGI PERAN KODIM 0506TCR UNTUK PENYELESAIAN KONFLIK SOSIAL DI WILAYAH DALAM RANGKA MENJAGA INTEGRITAS BANGSA.;5.000.000
1440;117 OPTIMALISASI PENERAPAN TEKNOLOGI INFORMASI DAN KOMUNIKASI PADA APLIKASI SISFOPERS TNI AD DALM RANGKA PENYAJIAN DATA PERSONEL TNI AD YANG AKURAT DAN TERKINI;979000018;2020;Taskap yang dibuat dengan Judul 117 OPTIMALISASI PENERAPAN TEKNOLOGI INFORMASI DAN KOMUNIKASI PADA APLIKASI SISFOPERS TNI AD DALM RANGKA PENYAJIAN DATA PERSONEL TNI AD YANG AKURAT DAN TERKINI.;5.000.000
1441;118 OPTIMALISASI PERAN DISPSIAD DALAM PENANGANAN KORBAN PASCA BENCANA ALAM GUNA MENDUKUNG TUGAS POKOK TNI AD;979000019;2020;Taskap yang dibuat dengan Judul 118 OPTIMALISASI PERAN DISPSIAD DALAM PENANGANAN KORBAN PASCA BENCANA ALAM GUNA MENDUKUNG TUGAS POKOK TNI AD.;5.000.000
1442;119 OPERASIONAL DRONE HYBRID VERTICAL TAKE OFF AND LANDING VTOL UNTUK MENDUKUNG TUGAS PENGAMANAN PERBATASAN DARAT RI RDTL;979000020;2020;Taskap yang dibuat dengan Judul 119 OPERASIONAL DRONE HYBRID VERTICAL TAKE OFF AND LANDING VTOL UNTUK MENDUKUNG TUGAS PENGAMANAN PERBATASAN DARAT RI RDTL.;5.000.000
1443;12 OPTIMALISASI PENANGANAN KONFLIK VERTIKAL OLEH SATUAN KOPASSUS DI KABUPATEN PUNCAK JAYA PROVINSI PAPUA MELALUI PEMANFAATAN ALAT TEKNOLOGI DRONE DALAM RANGKA MENCEGAH DISINTEGRASI BANGSA;979000021;2020;Taskap yang dibuat dengan Judul 12 OPTIMALISASI PENANGANAN KONFLIK VERTIKAL OLEH SATUAN KOPASSUS DI KABUPATEN PUNCAK JAYA PROVINSI PAPUA MELALUI PEMANFAATAN ALAT TEKNOLOGI DRONE DALAM RANGKA MENCEGAH DISINTEGRASI BANGSA.;5.000.000
