id,judul,isbn_issn,tahun_terbit,deskripsi
1172,"Bibliografi Hukum Adat Indonesia (Akhir Abad XIX - 1975)",10048,1976,"Penyusunan bibliografi hukum adat Indonesia ini merupakan salah satu usaha mengadakan suatu inventarisasi terhadap hasil-hasil publikasi di bidang tersebut"
1173,"HYPER-REALITAS KEBUDAYAAN",979080322026,1999,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1174,"JEJAKMU LANGKAHKU",979002,1976,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1176,"KESEIMBANGAN PENINGKATAN IMTAK DENGAN PENGGUNAAN IPTEK",979-3307-13-7,2002,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1177,"LIBRARY SERVICE",9793654120,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1178,"MEDIA DAN PERUBAHAN SOSIAL",9789796920211,2010,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1179,"MEMBASUH HATI",9786029673647,2010,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1180,"ORGANISASI DAN MANAJEMEN 2 EDISI KE EMPAT",979003,1996,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1181,"PANDUAN MEMBUAT KARYA TULIS",979-543-059-9,2005,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1182,"PENGELOLAAN PERPUSTAKAAN JILID 2",979-414-099-6,1988,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1184,"TANYA-JAWAB AUDITING KONTEMPORER",979006,2001,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1185,"TEKNIK MENAMBAH DAN MENGEMBANGKAN ILMU PENGETAHUAN",979007,1986,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1186,"FILSAFAT SOSIAL DAN POLITIK PANCASILA",979100322034,1987,"Lingkungan hidup mempunyai hubungan yang erat dengan manusia dan masyarakat."
1187,"ILMU TEORI DAN FILSAFAT KOMUNIKASI",979414651X,1993,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1188,"FILSAFAT PANCASILA",9798658000,2009,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1191,"FILSAFAT ILMU",9786022170220,2016,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1192,"HASIL LAPORAN PENELITIAN PENGEMBANGAN INSANI SEKOAD TA 2020 TENTANG ANALISIS KARAKTER KEPEMIMPINAN",979009,2020,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1193,"MANAGE YOUR MIND",9794218227,2001,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1194,"SELASA BERSAMA MORRIE PELAJARAN TENTANG MAKNA HIDUP",979-655-992-7,2001,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1195,"THE ULTIMATE SUCCESS ",978-979-22-6331-2,2010,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1196,"SEMANGATKU TAK PERNAH PADAM UNTUK MENJADI SUKSES",978-602-200-062-4,2011,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1199,"PANCASILA KEKUATAN PEMBEBAS",9789792133608,2012,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1200,"KUMPULAN PIDATO MOHAMMAD HATTA",9790012,1981,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1201,"REVOLUSI BELUM SELESAI",97897902442077,2014,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1202,"PERANG IRAQ - AS",979080322025,2003,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1203,"GAGALNYA PEMBANGUNAN MEMBACA ULANG KERUNTUHAN ORDE BARU",978979330990,2012,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1204,"HUKUM INTERNASIONAL PENGERTIAN PERANAN DAN FUNGSI DALAM ERA DINAMIKA GLOBAL",9790014,2013,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1205,"ASAS-ASAS HUKUM PIDANA DI INDONESIA DAN PENERAPANNYA",9790015,2012,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1206,"HUKUM LINGKUNGAN INDONESIA",9790016,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1208,"BUKU PETUNJUK INDUK DOKTRIN",9790018,2013,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1216,"BUKU PETUNJUK ADMINISTRASI GUDANG PUSAT KENDARAAN",9790026,1990,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1217,"BUKU PETUNJUK ADMINISTRASI PEMROGRAMAN LATIHAN",9790027,2007,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1218,"BUKU PETUNJUK ADMINISTRASI POKOK-POKOK PEMBINAAN KURIKULUM TNI AD",9790028,2007,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1220,"BUKU PETUNJUK INDUK KOMANDO DAN PENGENDALIAN TNI AD",9790030,1998,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1221,"BUKU PETUNJUK INDUK PERALATAN",9790031,2003,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1222,"BUKU PETUNJUK INDUK PERALATAN TNI AD 31-1-01 1995",9790032,1995,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1224,"BUKU PETUNJUK LAPANGAN BATALYON PERALATAN PL CPL - 01",9790034,2002,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1225,"BUKU PETUNJUK LAPANGAN DINAS STAF OPERASI",9790035,1986,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
