id;judul;deskripsi;user_id;rating
1197;EDEN IN THE EAST SURGA DI TIMUR,STEPHEN OPPENHEIMER;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;311;05.00
1209;24416 NASKAH DEPARTEMEN TENTANG MATA KULIAH MANAJEMEN PERTAHANAN MATRA DARAT;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;1631;04.00
1210;24418 NASKAH DEPARTEMEN TENTANG MATA KULIAH MANAJEMEN PERTAHANAN MATRA DARAT;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;1631;05.00
1234;BUKU PETUNJUK PELAKSANAAN PEDOMAN PENGAMANAN PRESIDEN, WAKIL PRESIDEN DAN TAMU NEGARA BESERTA KELUARGANYA (VVIP);Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;1994;02.00
1236;BUKU PETUNJUK PELAKSANAAN PEDOMAN PENYIAPAN SATUAN TNI AD UNTUK TUGAS PERDAMAIAN DUNIA;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;3090;05.00
1257;BUKU PETUNJUK TEKNIK KACA MATA MALAM;Buku Petunjuk Teknik tentang Kaca Mata Malam Disahkan dengan Surat Keputusan Kasad Nomor Skep/526/XII/2005 tanggal 28 Desember 2005.;2962;05.00
1268;BUKU PETUNJUK TEKNIK PENYIAPAN SATUAN INTELIJEN;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;2962;04.00
1281;HIMPUNAN PERATURAN KEPALA STAF ANGKATAN DARAT BIDANG PERSONEL TAHUN 2014;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;3066;05.00
1293;NASKAH DEPARTEMEN TENTANG MATA KULIAH OPERASI MILITER SELAIN PERANG;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;2080;05.00
1301;NASKAH SEMENTARA BUKU PETUNJUK LAPANGAN OPERASI GERILYA;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;3077;05.00
