id;user_id;judul;tahun_terbit;deskripsi;created_at
2381;221;WAWASAN NUSANTARA (DALAM PENDIDIKAN DAN KEBUDAYAAN) BUKU III;1981;WAWASAN NUSANTARA (DALAM PENDIDIKAN DAN KEBUDAYAAN) BUKU III;21/02/22 14.04
3407;526;Monumen Pancasila Sakti;1984;Monumen Pancasila Sakti Penjelasan tentang Monumen Pancasila Sakti Lubang Buaya dan Hari Peringatan Kesaktian Pancasila;21/02/22 14.05
1436;522;113 OPTIMALISASI KEPEMIMPINAN DANDIM DALAM RANGKA MENUMBUHKAN SEMANGAT KERJA PRAJURIT DI SATUAN;2020;Taskap yang dibuat dengan Judul 113 OPTIMALISASI KEPEMIMPINAN DANDIM DALAM RANGKA MENUMBUHKAN SEMANGAT KERJA PRAJURIT DI SATUAN.;23/02/22 11.46
1436;276;113 OPTIMALISASI KEPEMIMPINAN DANDIM DALAM RANGKA MENUMBUHKAN SEMANGAT KERJA PRAJURIT DI SATUAN;2020;Taskap yang dibuat dengan Judul 113 OPTIMALISASI KEPEMIMPINAN DANDIM DALAM RANGKA MENUMBUHKAN SEMANGAT KERJA PRAJURIT DI SATUAN.;23/02/22 11.46
1427;522;104 OPTIMALISASI KEMAMPUAN SATGASPAMTAS RI-PNG GUNA MENINGKATKAN TUGAS POKOK TNI AD DALAM RANGKA TERJAGANYA KEDAULATAN NKRI;2020;Taskap yang dibuat dengan Judul 104 OPTIMALISASI KEMAMPUAN SATGASPAMTAS RI-PNG GUNA MENINGKATKAN TUGAS POKOK TNI AD DALAM RANGKA TERJAGANYA KEDAULATAN NKRI.;23/02/22 11.55
1427;276;104 OPTIMALISASI KEMAMPUAN SATGASPAMTAS RI-PNG GUNA MENINGKATKAN TUGAS POKOK TNI AD DALAM RANGKA TERJAGANYA KEDAULATAN NKRI;2020;Taskap yang dibuat dengan Judul 104 OPTIMALISASI KEMAMPUAN SATGASPAMTAS RI-PNG GUNA MENINGKATKAN TUGAS POKOK TNI AD DALAM RANGKA TERJAGANYA KEDAULATAN NKRI.;23/02/22 12.05
3657;545;PASUKAN ELIT DI DUNIA;1985;PASUKAN ELIT DI DUNIA;13/03/22 09.19
5235;539;Hafal Al Quran Dan Lancar Seumur Hidup;2017;Hafal Al Quran Dan Lancar Seumur Hidup;13/03/22 12.11
4297;315;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;16/03/22 14.43
4724;276;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;17/03/22 11.14
2911;1739;Organisasi dan Tugas Direktorat Kesehatan Angkatan Darat (Orgas Ditkesad);2006;Organisasi dan Tugas Direktorat Kesehatan Angkatan Darat (Orgas Ditkesad);17/03/22 16.35
5241;2058;Manajemen Logistik 2;2002;Manajemen Logistik 2;17/03/22 19.51
2929;2058;Organisasi dan Tugas Peralatan kodam (Orgas Paldam);2006;Organisasi dan Tugas Peralatan kodam (Orgas Paldam);17/03/22 19.54
2913;2058;Organisasi dan Tugas Direktorat Peralatan Angkatan Darat (ORGAS DITPALAD);2011;Organisasi dan Tugas Direktorat Peralatan Angkatan Darat (ORGAS DITPALAD);17/03/22 19.54
1755;2058;404 PERAN SATUAN PERALATAN DALAM PEMELIHARAAN PERALATAN GUNA MEMDUKUNG TUGAS POKOK DENMA MABESAD;2020;Taskap yang dibuat dengan Judul 404 PERAN SATUAN PERALATAN DALAM PEMELIHARAAN PERALATAN GUNA MEMDUKUNG TUGAS POKOK DENMA MABESAD.;17/03/22 19.56
1221;2058;BUKU PETUNJUK INDUK PERALATAN;2003;Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya.;17/03/22 19.57
5242;2152;Ekonomi Kerakyatan;2001;Ekonomi Kerakyatan;17/03/22 22.54
3153;2068;Organisasi dan Tugas Perhubungan Komando Daerah Militer (Orgas Hubdam) Uji Coba;2017;Organisasi dan Tugas Perhubungan Komando Daerah Militer (Orgas Hubdam) Uji Coba;17/03/22 22.57
2908;2068;Organisasi dan Tugas Detasemen Perhubungan Korem (Orgas DENHUBREM);2014;Organisasi dan Tugas Detasemen Perhubungan Korem (Orgas DENHUBREM);17/03/22 22.58
1363;2088;10 SECRETS OF SUCCESSFUL LEADERS;2007;10 Secrets of Successful Leaders akan mengubah cara Anda berpikir tentang karier Anda  dan menunjukkan kepada Anda bagaimana menjadi pemimpin perusahaan yang dapat mendaki tangga sejauh yang Anda inginkan.;18/03/22 04.39
4297;1800;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;18/03/22 09.44
